key	catalog_key	colours	skus	name_ru_before	name_ru	name_en	name_hy
|built-in linea aesthetic	|built-in linea aesthetic	2	4	Встраиваемая коллекция Linea	Встраиваемая коллекция Linea	Built-in Linea Aesthetic	Ներկառուցվող Linea Aesthetic
|built-in wine cooler linea aesthetic	|built-in wine cooler linea aesthetic	2	5	Встраиваемый винный шкаф Linea	Встраиваемый винный шкаф Linea	Built-in Wine Cooler Linea Aesthetic	Ներկառուցվող գինու պահարան Linea Aesthetic
|ceiling hood 120 cm universale aesthetic	|ceiling hood 120 cm universale aesthetic	2	3	Потолочная вытяжка 120 см, эстетика Universale	Потолочная вытяжка 120 см, эстетика Universale	Ceiling hood 120 cm Universale Aesthetic	Առաստաղի օդաքաշ 120 սմ, Universale էսթետիկա
|ceiling hood 90 cm universale aesthetic	|ceiling hood 90 cm universale aesthetic	2	4	Потолочная вытяжка 90 см, эстетика Universale	Потолочная вытяжка 90 см, эстетика Universale	Ceiling hood 90 cm Universale Aesthetic	Առաստաղի օդաքաշ 90 սմ, Universale էսթետիկա
|chimney extension accessory for: hoods universale	|chimney extension accessory for: hoods universale	2	2	Удлинитель дымохода, аксессуар для: вытяжки Universale	Удлинитель дымохода, аксессуар для: вытяжки Universale	Chimney extension Accessory for: Hoods Universale	Ծխնելույզի երկարացուցիչ, պարագա՝ օդաքաշների Universale համար
|decorative island hood 120 cm universale aesthetic	|decorative island hood 120 cm universale aesthetic	3	3	Декоративная островная вытяжка 120 см, эстетика Universale	Декоративная островная вытяжка 120 см, эстетика Universale	Decorative island hood 120 cm Universale Aesthetic	Դեկորատիվ կղզյակային օդաքաշ 120 սմ, Universale էսթետիկա
|decorative island hood 90 cm cortina aesthetic	|decorative island hood 90 cm cortina aesthetic	2	2	Декоративная островная вытяжка 90 см, эстетика Cortina	Декоративная островная вытяжка 90 см, эстетика Cortina	Decorative island hood 90 cm Cortina Aesthetic	Դեկորատիվ կղզյակային օդաքաշ 90 սմ, Cortina էսթետիկա
|decorative island hood 90 cm universale aesthetic	|decorative island hood 90 cm universale aesthetic	3	5	Декоративная островная вытяжка 90 см, эстетика Universale	Декоративная островная вытяжка 90 см, эстетика Universale	Decorative island hood 90 cm Universale Aesthetic	Դեկորատիվ կղզյակային օդաքաշ 90 սմ, Universale էսթետիկա
|decorative wall hood 100 cm victoria aesthetic	|decorative wall hood 100 cm victoria aesthetic	3	3	Декоративная настенная вытяжка 100 см, эстетика Victoria	Декоративная настенная вытяжка 100 см, эстетика Victoria	Decorative wall hood 100 cm Victoria Aesthetic	Դեկորատիվ պատի օդաքաշ 100 սմ, Victoria էսթետիկա
|decorative wall hood 110 cm universale aesthetic	|decorative wall hood 110 cm universale aesthetic	2	2	Декоративная настенная вытяжка 110 см, эстетика Universale	Декоративная настенная вытяжка 110 см, эстетика Universale	Decorative wall hood 110 cm Universale Aesthetic	Դեկորատիվ պատի օդաքաշ 110 սմ, Universale էսթետիկա
|decorative wall hood 110 cm victoria aesthetic	|decorative wall hood 110 cm victoria aesthetic	4	4	Декоративная настенная вытяжка 110 см, эстетика Victoria	Декоративная настенная вытяжка 110 см, эстетика Victoria	Decorative wall hood 110 cm Victoria Aesthetic	Դեկորատիվ պատի օդաքաշ 110 սմ, Victoria էսթետիկա
|decorative wall hood 120 cm portofino aesthetic	|decorative wall hood 120 cm portofino aesthetic	5	5	Декоративная настенная вытяжка 120 см, эстетика Portofino	Декоративная настенная вытяжка 120 см, эстетика Portofino	Decorative wall hood 120 cm Portofino Aesthetic	Դեկորատիվ պատի օդաքաշ 120 սմ, Portofino էսթետիկա
|decorative wall hood 60 cm coloniale aesthetic	|decorative wall hood 60 cm coloniale aesthetic	2	2	Декоративная настенная вытяжка 60 см, эстетика Coloniale	Декоративная настенная вытяжка 60 см, эстетика Coloniale	Decorative wall hood 60 cm Coloniale Aesthetic	Դեկորատիվ պատի օդաքաշ 60 սմ, Coloniale էսթետիկա
|decorative wall hood 60 cm cortina aesthetic	|decorative wall hood 60 cm cortina aesthetic	2	2	Декоративная настенная вытяжка 60 см, эстетика Cortina	Декоративная настенная вытяжка 60 см, эстетика Cortina	Decorative wall hood 60 cm Cortina Aesthetic	Դեկորատիվ պատի օդաքաշ 60 սմ, Cortina էսթետիկա
|decorative wall hood 60 cm universale aesthetic	|decorative wall hood 60 cm universale aesthetic	4	11	Декоративная настенная вытяжка 60 см, эстетика Universale	Декоративная настенная вытяжка 60 см, эстетика Universale	Decorative wall hood 60 cm Universale Aesthetic	Դեկորատիվ պատի օդաքաշ 60 սմ, Universale էսթետիկա
|decorative wall hood 60 cm victoria aesthetic	|decorative wall hood 60 cm victoria aesthetic	3	3	Декоративная настенная вытяжка 60 см, эстетика Victoria	Декоративная настенная вытяжка 60 см, эстетика Victoria	Decorative wall hood 60 cm Victoria Aesthetic	Դեկորատիվ պատի օդաքաշ 60 սմ, Victoria էսթետիկա
|decorative wall hood 75 cm 50's style aesthetic	|decorative wall hood 75 cm 50's style aesthetic	3	3	Декоративная настенная вытяжка 75 см, эстетика 50's Style	Декоративная настенная вытяжка 75 см, эстетика 50's Style	Decorative wall hood 75 cm 50's Style Aesthetic	Դեկորատիվ պատի օդաքաշ 75 սմ, 50's Style էսթետիկա
|decorative wall hood 90 cm classica aesthetic	|decorative wall hood 90 cm classica aesthetic	3	3	Декоративная настенная вытяжка 90 см, эстетика Classica	Декоративная настенная вытяжка 90 см, эстетика Classica	Decorative wall hood 90 cm Classica Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Classica էսթետիկա
|decorative wall hood 90 cm coloniale aesthetic	|decorative wall hood 90 cm coloniale aesthetic	2	3	Декоративная настенная вытяжка 90 см, эстетика Coloniale	Декоративная настенная вытяжка 90 см, эстетика Coloniale	Decorative wall hood 90 cm Coloniale Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Coloniale էսթետիկա
