key_en,key_ru,key_hy
+30 sec. function,Функция +30 сек.,+30 վրկ. գործառույթ
1-4 cups function,Функция для 1-4 чашек,1-4 բաժակի գործառույթ
1/2 load,1/2 загрузки,1/2 բեռնվածություն
1/2 load FlexiZone option,Опция FlexiZone с 1/2 загрузкой,1/2 բեռնված FlexiZone տարբերակ
1st zone booster power,Мощность бустера 1-й зоны,1-ին գոտու բուսթերի հզորություն
1st zone dimensions,Размеры 1-й зоны,1-ին գոտու չափերը
1st zone energy consumption,Энергопотребление 1-й зоны,1-ին գոտու էներգիայի սպառում
1st zone position,Положение 1-й зоны,1-ին գոտու դիրքը
1st zone power,Мощность 1-й зоны,1-ին գոտու հզորность
1st zone type,Тип 1-й зоны,1-ին գոտու տեսակը
20mm deep tray,Глубокий противень 20 мм,20 մմ խորությամբ սկուտեղ
24h air filter function,Функция воздушного фильтра 24 ч,24ժ օդի ֆիլտրի գործառույթ
2nd zone booster power,Мощность бустера 2-й зоны,2-րդ գոտու բուսթերի հզորություն
2nd zone dimensions,Размеры 2-й зоны,2-րդ գոտու չափերը
2nd zone energy consumption,Энергопотребление 2-й зоны,2-րդ գոտու էներգիայի սպառում
2nd zone position,Положение 2-й зоны,2-րդ գոտու դիրքը
2nd zone power,Мощность 2-й зоны,2-րդ գոտու հզորность
2nd zone type,Тип 2-й зоны,2-րդ գոտու տեսակը
360° swivel base,Поворотное основание 360°,360° պտտվող հիմք
3rd zone booster power,Мощность бустера 3-й зоны,3-րդ գոտու բուսթերի հզորություն
3rd zone dimensions,Размеры 3-й зоны,3-րդ գոտու չափերը
3rd zone position,Положение 3-й зоны,3-րդ գոտու դիրքը
3rd zone power,Мощность 3-й зоны,3-րդ գոտու հզորность
3rd zone type,Тип 3-й зоны,3-րդ գոտու տեսակը
4 Star compartment - Star rating,4-звёздочное отделение - Класс звёздности,4 աստղանի խցիկ - Աստղային դաս
4 star - Freezing capacity,4 звезды - Мощность заморозки,4 աստղ - Սառեցման հզորություն
