value_en,value_ru,value_hy
'Glassy' ceramic,Стеклокерамика 'Glassy','Glassy' կերամիկա
(C) Eurospina,(C) Eurospina,(C) Eurospina
(F;E) Schuko,(F;E) Schuko,(F;E) Schuko
(G) UK e Singapore,(G) Великобритания и Сингапур,(G) Միացյալ Թագավորություն և Սինգապուր
(I) Australia,(I) Австралия,(I) Ավստրալիա
(max. 300 g flour/ min. 55% hydration),(макс. 300 г муки/ мин. 55% гидратация),(առավելագույնը 300 գ ալյուր/ նվազագույնը 55% խոնավություն)
0 min,0 мин,0 րոպե
"0,5 bar","0,5 бар","0,5 բար"
0.0 lux/W,0.0 люкс/Вт,0.0 լյուքս/Վտ
0.44 kWh,0.44 кВтч,0.44 կՎտժ
0.51 kWh,0.51 кВтч,0.51 կՎտժ
0.60 kWh,0.60 кВтч,0.60 կՎտժ
0.68 kWh,0.68 кВтч,0.68 կՎտժ
0.71 kWh,0.71 кВтч,0.71 կՎտժ
0.73 kWh,0.73 кВтч,0.73 կՎտժ
0.74 kWh,0.74 кВтч,0.74 կՎտժ
0.77 kWh,0.77 кВтч,0.77 կՎտժ
0.78 kWh,0.78 кВтч,0.78 կՎտժ
0.8 lt / 3 cups,0.8 л / 3 чашки,0.8 լ / 3 բաժակ
0.80 kWh,0.80 кВтч,0.80 կՎտժ
0.81 kWh,0.81 кВтч,0.81 կՎտժ
0.82 kWh,0.82 кВтч,0.82 կՎտժ
0.83 kWh,0.83 кВтч,0.83 կՎտժ
0.84 kWh,0.84 кВтч,0.84 կՎտժ
0.90 kWh,0.90 кВтч,0.90 կՎտժ
0.95 kWh,0.95 кВтч,0.95 կՎտժ
0.96 kWh,0.96 кВтч,0.96 կՎտժ
0.98 kWh,0.98 кВтч,0.98 կՎտժ
0.99 kWh,0.99 кВтч,0.99 կՎտժ
1 - Refrigerator with one or more fresh-food storage compartments,1 - Холодильник с одним или несколькими отделениями для свежих продуктов,1 - Սառնարան մեկ կամ ավելի թարմ սննդի պահեստավորման խցիկներով
1 Tap hole,1 отверстие под кран,1 ծորակի անցք
1 bar,1 бар,1 բար
1 ice box,1 контейнер для льда,1 սառույցի տուփ
1 min,1 мин,1 րոպե
"1,8 Lt/ 60 Oz/ 7 Cups","1,8 л/ 60 унций/ 7 чашек","1,8 լ/ 60 ունցիա/ 7 բաժակ"
1.09 kWh,1.09 кВтч,1.09 կՎտժ
1.12 kWh,1.12 кВтч,1.12 կՎտժ
1.13 kWh,1.13 кВтч,1.13 կՎտժ
1.15 kWh,1.15 кВтч,1.15 կՎտժ
1.21 kWh,1.21 кВтч,1.21 կՎտժ
1.24 kWh,1.24 кВтч,1.24 կՎտժ
1.25 kWh,1.25 кВтч,1.25 կՎտժ
1.29 kWh,1.29 кВтч,1.29 կՎտժ
1.35 kWh,1.35 кВтч,1.35 կՎտժ
1.39 kWh,1.39 кВтч,1.39 կՎտժ
1.52 kWh,1.52 кВтч,1.52 կՎտժ
1.7 lt / 7 cups,1.7 л / 7 чашек,1.7 լ / 7 բաժակ
1.8 kg total dough (max. 1.2 kg flour),1.8 кг общего теста (макс. 1.2 кг муки),1.8 կգ ընդհանուր խմոր (առավելագույնը 1.2 կգ ալյուր)
1.9 kg total dough (max. 1.2 kg flour/ min. 55% hydration),1.9 кг общего теста (макс. 1.2 кг муки/ мин. 55% гидратация),1.9 կգ ընդհանուր խմոր (առավելագույնը 1.2 կգ ալյուր/ նվազագույնը 55% խոնավություն)
10 bar,10 бар,10 բար
10 min,10 мин,10 րոպե
10 min/20min/30min,10 мин/20 мин/30 мин,10 րոպե/20 րոպե/30 րոպե
10.5 litres,10.5 литров,10.5 լիտր
100 kWh/a,100 кВтч/год,100 կՎտժ/տարի
100 lux,100 люкс,100 լյուքս
100.2 lux/W,100.2 люкс/Вт,100.2 լյուքս/Վտ
102.3 lux/W,102.3 люкс/Вт,102.3 լյուքս/Վտ
103 kWh/a,103 кВтч/год,103 կՎտժ/տարի
104 kWh/a,104 кВтч/год,104 կՎտժ/տարի
106 kWh/a,106 кВтч/год,106 կՎտժ/տարի
108 min,108 мин,108 րոպե
11 lux/W,11 люкс/Вт,11 լյուքս/Վտ
110 min,110 мин,110 րոպե
111.8 lux/W,111.8 люкс/Вт,111.8 լյուքս/Վտ
114 kWh/a,114 кВтч/год,114 կՎտժ/տարի
115 kWh/a,115 кВтч/год,115 կՎտժ/տարի
115 min,115 мин,115 րոպե
118.2 lux/W,118.2 люкс/Вт,118.2 լյուքս/Վտ
118.5 lux/W,118.5 люкс/Вт,118.5 լյուքս/Վտ
118.6 lux/W,118.6 люкс/Вт,118.6 լյուքս/Վտ
12 hours,12 часов,12 ժամ
12.0 litres,12.0 литров,12.0 լիտր
12.1 lux/W,12.1 люкс/Вт,12.1 լյուքս/Վտ
120 min,120 мин,120 րոպե
1200 giri/min,1200 об/мин,1200 պտույտ/րոպե
121 kWh/a,121 кВтч/год,121 կՎտժ/տարի
121 lux,121 люкс,121 լյուքս
125 min,125 мин,125 րոպե
127 kWh/a,127 кВтч/год,127 կՎտժ/տարի
128.6 lux/W,128.6 люкс/Вт,128.6 լյուքս/Վտ
13 lux/W,13 люкс/Вт,13 լյուքս/Վտ
130 lux,130 люкс,130 լյուքս
130 min,130 мин,130 րոպե
133 lux,133 люкс,133 լյուքս
135 kWh/a,135 кВтч/год,135 կՎտժ/տարի
137 kWh/a,137 кВтч/год,137 կՎտժ/տարի
139 lux,139 люкс,139 լյուքս
140 kWh/a,140 кВтч/год,140 կՎտժ/տարի
1400 giri/min,1400 об/мин,1400 պտույտ/րոպե
142 lux,142 люкс,142 լյուքս
143 lux,143 люкс,143 լյուքս
145 kWh/a,145 кВтч/год,145 կՎտժ/տարի
145 lux,145 люкс,145 լյուքս
146 kWh/a,146 кВтч/год,146 կՎտժ/տարի
146 lux,146 люкс,146 լյուքս
14850 giri/min,14850 об/мин,14850 պտույտ/րոպե
15 bar,15 бар,15 բար
15 min,15 мин,15 րոպե
150 lux,150 люкс,150 լյուքս
153 lux,153 люкс,153 լյուքս
156 lux,156 люкс,156 լյուքս
157 lux,157 люкс,157 լյուքս
158 kWh/a,158 кВтч/год,158 կՎտժ/տարի
158 lux,158 люкс,158 լյուքս
16 lux/W,16 люкс/Вт,16 լյուքս/Վտ
16.1 lux/W,16.1 люкс/Вт,16.1 լյուքս/Վտ
160 kWh/a,160 кВтч/год,160 կՎտժ/տարի
164 lux,164 люкс,164 լյուքս
166 lux,166 люкс,166 լյուքս
168 kWh/a,168 кВтч/год,168 կՎտժ/տարի
169 lux,169 люкс,169 լյուքս
17 lux/W,17 люкс/Вт,17 լյուքս/Վտ
170 lux,170 люкс,170 լյուքս
172 lux,172 люкс,172 լյուքս
173 kWh/a,173 кВтч/год,173 կՎտժ/տարի
174 min,174 мин,174 րոպե
175 lux,175 люкс,175 լյուքս
176 kWh/a,176 кВтч/год,176 կՎտժ/տարի
177 kWh/a,177 кВтч/год,177 կՎտժ/տարի
178 kWh/a,178 кВтч/год,178 կՎտժ/տարի
178 lux,178 люкс,178 լյուքս
181 lux,181 люкс,181 լյուքս
